time,mode,lat,lon,alt,vx,vy,vz,roll,pitch,yaw
1370659,STABILIZE,0,0,0,0,0,0,0,0,0
1371092,STABILIZE,0,0,-1249,-5,-4,-24,-138,3,-157
1371591,STABILIZE,0,0,-1419,-5,-4,-23,-138,3,-157
1372092,STABILIZE,0,0,-1380,-5,-4,-23,-138,3,-157
1372592,STABILIZE,0,0,-1435,-5,-4,-23,-138,3,-157
1373091,STABILIZE,0,0,-1457,-5,-4,-23,-138,3,-157
1373591,STABILIZE,0,0,-1364,-5,-3,-23,-138,3,-157
1374766,STABILIZE,0,0,-1331,-5,-3,-23,-138,3,-157
1375107,STABILIZE,0,0,-1490,-5,-3,-22,-138,3,-157
1375592,STABILIZE,0,0,-1490,-5,-3,-22,-138,3,-157
1376092,STABILIZE,0,0,-1533,-5,-3,-23,-138,3,-157
1376592,STABILIZE,0,0,-1462,-5,-4,-23,-138,3,-157
1377092,STABILIZE,0,0,-1402,-5,-4,-22,-138,3,-157
1377592,STABILIZE,0,0,-1402,-5,-4,-22,-138,3,-157
